,text,tag,raw,!stopwords,stemmed,preprocessed
748,чем отличается 01.03.00 от 02.03.02?,описание направлений,чем отличается          от          ,отличается,отлича,отличаться
749,"Хоть программа у 02.03.02 и 01.03.02 почти одинаковые, но насколько легко перевестись с 01 на 02 в случае чего после первого курса?",описание направлений,хоть программа у          и          почти одинаковые  но насколько легко перевестись с    на    в случае чего после первого курса ,программа одинаковые насколько легко перевестись случае первого курса,программ одинаков наскольк легк перевест случа перв курс,программа одинаковый насколько легко переводиться случай первый курс
750,"Здравствуйте, в ПК подан оригинал диплома, в ранжированных списках отображается Подлинник. А в ЛК абитуриента - просьба принести оригинал в приемную комиссию. Кто решит этот вопрос? ПК?",технические проблемы,здравствуйте  в пк подан оригинал диплома  в ранжированных списках отображается подлинник  а в лк абитуриента   просьба принести оригинал в приемную комиссию  кто решит этот вопрос  пк ,пк подан оригинал диплома ранжированных списках отображается подлинник лк абитуриента просьба принести оригинал приемную комиссию решит пк,пк пода оригина диплом ранжирова списк отобража подлинник лк абитуриент просьб принест оригина приемн комисс реш пк,пк оригинал диплом ранжировать список отображаться подлинник лк абитуриент просьба приносить оригинал приемная комиссия решать пк
751,"Доброе утро!!! На направление 01.03.00 , насколько я понимаю, готовят несколько кафедр. Разъясните, пожалуйста, как по количеству студентов( абитуриентов) распределяются места??? Или это будет зависеть от успешности сдачи экзаменов 1-2 года обучения? Нужно понимание, если программа 02.03.02 и 01.03.00 одинаковы, то чтобы уверенно быть на 806 кафедре, то лучше идти на ФИИТ??? Спасибо.",распределение по кафедрам,доброе утро    на направление            насколько я понимаю  готовят несколько кафедр  разъясните  пожалуйста  как по количеству студентов  абитуриентов  распределяются места    или это будет зависеть от успешности сдачи экзаменов     года обучения  нужно понимание  если программа          и          одинаковы  то чтобы уверенно быть на     кафедре  то лучше идти на фиит    спасибо ,доброе утро направление насколько понимаю готовят несколько кафедр разъясните количеству студентов абитуриентов распределяются места зависеть успешности сдачи экзаменов года обучения нужно понимание программа одинаковы уверенно кафедре идти фиит спасибо,добр утр направлен наскольк понима готов нескольк кафедр разъясн количеств студент абитуриент распределя мест зависет успешн сдач экзамен год обучен нужн пониман программ одинаков уверен кафедр идт фи спасиб,утро направление насколько понимать готовить несколько кафедра разъяснять количество студент абитуриент распределяться место зависеть успешность сдача экзамен год обучение нужно понимание программа одинаковый уверенно кафедра идти фиит спасибо
752,"Не нужно же переживать,что тебя нет в рейтинговых списках,если в лк уже висит,что согласие на направление подано?",технические проблемы,не нужно же переживать что тебя нет в рейтинговых списках если в лк уже висит что согласие на направление подано ,не нужно переживать нет рейтинговых списках лк висит согласие направление подано,не нужн пережива нет рейтингов списк лк вис соглас направлен пода,не нужно переживать нет рейтинговый список лк висеть согласие направление
753,"я правильно понимаю, что 270+ это 100% общежитие?",общежитие,я правильно понимаю  что      это      общежитие ,правильно понимаю общежитие,правильн понима общежит,правильно понимать общежитие
754,Когда обновятся списки ( ?,конкурсные списки,когда обновятся списки    ,обновятся списки,обнов списк,обновляться список
755,Как часто будут обновляться списки ?,конкурсные списки,как часто будут обновляться списки  ,часто будут обновляться списки,част будут обновля списк,часто обновляться список
756,"Добрый день! Чтобы перенести согласие на другое направление в личном кабинете нужно ли что-то распечатать, подписать, отсканировать или вся операция происходит число электронно ?",технические проблемы,добрый день  чтобы перенести согласие на другое направление в личном кабинете нужно ли что то распечатать  подписать  отсканировать или вся операция происходит число электронно  ,перенести согласие другое направление личном кабинете нужно распечатать подписать отсканировать вся операция происходит число электронно,перенест соглас друг направлен личн кабинет нужн распечата подписа отсканирова вся операц происход числ электрон,перенести согласие направление личный кабинет нужно распечатывать подписывать отсканировать весь операция происходить число электронный
757,"Вчера на это направление принесли 60 аттестатов. Сегодня пока около 20. Скажите пожалуйста, сколько желающих с аттестатами к вам? Есть ли очередь? Спрашиваю, чтобы понимать, оставаться на этом направлении или переносить согласие. Когда будет следующее обновление списков?",конкурсные списки,вчера на это направление принесли    аттестатов  сегодня пока около     скажите пожалуйста  сколько желающих с аттестатами к вам  есть ли очередь  спрашиваю  чтобы понимать  оставаться на этом направлении или переносить согласие  когда будет следующее обновление списков ,вчера направление принесли аттестатов сегодня пока около скажите сколько желающих аттестатами очередь спрашиваю понимать оставаться направлении переносить согласие следующее обновление списков,вчер направлен принесл аттестат сегодн пок окол скаж скольк жела аттестат очеред спрашива понима остава направлен перенос соглас след обновлен списк,вчера направление приносить аттестат сегодня пока около сколько желать аттестат очередь спрашивать понимать оставаться направление переносить согласие следующий обновление список
758,"Подскажите,  пожалуйста, вы пишете про 72 места в общежитии, а в ранжированных списках на сайте указано 73. Что правда?)",общежитие,подскажите  пожалуйста  вы пишете про    места в общежитии  а в ранжированных списках на сайте указано     что правда  ,подскажите пишете места общежитии ранжированных списках сайте указано правда,подскаж пишет мест общежит ранжирова списк сайт указа правд,писать место общежитие ранжировать список сайт указывать правда
759,"А где можно посмотреть рейтинговые списки на все направления в МАИ? Просто на сайте увидел только по фамилиям, а это не то, что я хотел бы",конкурсные списки,а где можно посмотреть рейтинговые списки на все направления в маи  просто на сайте увидел только по фамилиям  а это не то  что я хотел бы,посмотреть рейтинговые списки направления просто сайте увидел фамилиям не хотел,посмотрет рейтингов списк направлен прост сайт увидел фамил не хотел,посмотреть рейтинговый список направление просто сайт увидеть фамилия не
760,"Добрый день. Если подать оригинал аттестата до окончания работы приёмной комиссии, то можно ли будет после окончания её работы забрать его(допустим если конкурсная ситуация изменится)?",документы,добрый день  если подать оригинал аттестата до окончания работы приёмной комиссии  то можно ли будет после окончания её работы забрать его допустим если конкурсная ситуация изменится  ,подать оригинал аттестата окончания работы приёмной комиссии окончания её работы забрать допустим конкурсная ситуация изменится,пода оригина аттестат окончан работ приемн комисс окончан е работ забра допуст конкурсн ситуац измен,оригинал аттестат окончание работа приемный комиссия окончание работа забирать допускать конкурсный ситуация изменяться
761,"подскажите, пожалуйста, сколько раз можно переложить согласие с одного направления на другое внутри маи?",документы,подскажите  пожалуйста  сколько раз можно переложить согласие с одного направления на другое внутри маи ,подскажите сколько переложить согласие одного направления другое внутри,подскаж скольк перелож соглас одн направлен друг внутр,сколько перелагать согласие направление внутри
762,"Здравствуйте, не подскажите, когда обновлят списки на сайте?  Последнее обновление 12:26.",конкурсные списки,здравствуйте  не подскажите  когда обновлят списки на сайте  последнее обновление       ,не подскажите обновлят списки сайте последнее обновление,не подскаж обновл списк сайт последн обновлен,не обновленок список сайт последний обновление
763,"Добрый день. Хотелось узнать по поводу мест в общежитие. Последний человек (с 259 баллами) занимает 16 место, что и говорит ваша статистика о проходном балле. Но, насколько мне известно, 1 человек прошёл по квоте и его место для общежития берётся из 16 мест или проходит мимо данного списка? (Фиит)",конкурсные списки,добрый день  хотелось узнать по поводу мест в общежитие  последний человек  с     баллами  занимает    место  что и говорит ваша статистика о проходном балле  но  насколько мне известно    человек прошёл по квоте и его место для общежития берётся из    мест или проходит мимо данного списка   фиит ,хотелось узнать поводу мест общежитие последний человек баллами занимает место говорит ваша статистика проходном балле насколько известно человек прошёл квоте место общежития берётся мест проходит мимо данного списка фиит,хотел узна повод мест общежит последн человек балл занима мест говор ваш статистик проходн балл наскольк известн человек прошел квот мест общежит берет мест проход мим дан списк фи,хотеться повод место общежитие последний человек балл занимать место говорить ваш статистика проходной балл насколько известно человек проходить квота место общежитие браться место проходить мимо данный список фиит
764,А сколько мест на 806 кафедре на направлении 01.03.00?,описание направлений,а сколько мест на     кафедре на направлении          ,сколько мест кафедре направлении,скольк мест кафедр направлен,сколько место кафедра направление
765,Какой шанс на общагу на данный момент?,общежитие,какой шанс на общагу на данный момент ,шанс общагу данный момент,шанс общаг дан момент,шанс общага данный момент
766,Можно ли только опираться на этот список?,конкурсные списки,можно ли только опираться на этот список ,опираться список,опира список,опираться список
767,"Добрый день! Светлана Юрьевна выше писала, что могут добавить ещё места в общежитии на 01.03.00. Подскажите пожалуйста, стоит ли их ещё ожидать?",общежитие,добрый день  светлана юрьевна выше писала  что могут добавить ещё места в общежитии на           подскажите пожалуйста  стоит ли их ещё ожидать ,светлана юрьевна выше писала могут добавить ещё места общежитии подскажите стоит ещё ожидать,светла юрьевн выш писа могут добав ещ мест общежит подскаж сто ещ ожида,светлана юрьевна высоко писать добавлять место общежитие стоить ожидать
768,можете подсказать когда будет последнее обновление списков в канале?,конкурсные списки,можете подсказать когда будет последнее обновление списков в канале ,можете подсказать последнее обновление списков канале,может подсказа последн обновлен списк канал,последний обновление список канал
769,"А что лучше для программиста, пми или фиит?",описание направлений,а что лучше для программиста  пми или фиит ,программиста пми фиит,программист пми фи,программист пми фиит
770,Когда будет следующее обновление списков?,конкурсные списки,когда будет следующее обновление списков ,следующее обновление списков,след обновлен списк,следующий обновление список
771,"ребят, что по общагам? так и остается 72/16? там про +10 мест какие-то говорили, они куда пойдут? на книпм или как-то распределят?",общежитие,ребят  что по общагам  так и остается        там про     мест какие то говорили  они куда пойдут  на книпм или как то распределят ,ребят общагам остается мест какие говорили пойдут книпм распределят,реб общаг оста мест как говор пойдут книпм распредел,общага оставаться место говорить пойти книпм распределять
772,Когда обновят списки на сайте,конкурсные списки,когда обновят списки на сайте,обновят списки сайте,обнов списк сайт,обновлять список сайт
773,Когда обновят списки на сайте?,конкурсные списки,когда обновят списки на сайте ,обновят списки сайте,обнов списк сайт,обновлять список сайт
774,"Здравствуйте! Подскажите пожалуйста, если не пройдёшь на ПМИ в общагу, через какое время могут её дать, если поступишь на бюджет?",общежитие,здравствуйте  подскажите пожалуйста  если не пройдёшь на пми в общагу  через какое время могут её дать  если поступишь на бюджет ,подскажите не пройдёшь пми общагу какое время могут её дать поступишь бюджет,подскаж не пройдеш пми общаг как врем могут е дат поступ бюджет,не проходить пми общага время давать поступать бюджет
775,206 место из 216 на книпм...  Реально ли или менять согласие?,документы,    место из     на книпм    реально ли или менять согласие ,место книпм реально менять согласие,мест книпм реальн меня соглас,место книпм реально менять согласие
776,Добрый вечер 263 балла на пми. Стоит ли на общагу надеяться?,общежитие,добрый вечер     балла на пми  стоит ли на общагу надеяться ,балла пми стоит общагу надеяться,балл пми сто общаг надея,балл пми стоять общага надеяться
777,"А есть вероятность, что после полной обработки данных с госуслуг, проходной балл сильно изменится?",госуслуги,а есть вероятность  что после полной обработки данных с госуслуг  проходной балл сильно изменится ,вероятность полной обработки данных госуслуг проходной балл сильно изменится,вероятн полн обработк дан госуслуг проходн балл сильн измен,вероятность полный обработка данные госуслуга проходной балл сильно изменяться
778,"Здравствуйте. Есть ли шанс на общежитие с 263? Боюсь, что подгрузится информация с госуслуг после шести и я пролечу",общежитие,здравствуйте  есть ли шанс на общежитие с      боюсь  что подгрузится информация с госуслуг после шести и я пролечу,шанс общежитие боюсь подгрузится информация госуслуг шести пролечу,шанс общежит бо подгруз информац госуслуг шест пролеч,шанс общежитие бояться подгрузиться информация госуслуга шесть пролететь
779,"А у тех кто взял талон до 6,но ещё очередь будет , допустим,то после 6 уже не будут приниматься аттестаты?",документы,а у тех кто взял талон до   но ещё очередь будет   допустим то после   уже не будут приниматься аттестаты ,тех взял талон ещё очередь допустим не будут приниматься аттестаты,тех взял талон ещ очеред допуст не будут принима аттестат,взять талон очередь допускать не приниматься аттестат
780,"А чтобы переместить согласие с одной спецки на другую, что нужно сделать?",технические проблемы,а чтобы переместить согласие с одной спецки на другую  что нужно сделать ,переместить согласие одной спецки другую нужно сделать,перемест соглас одн спецк друг нужн сдела,перемещать согласие спецки нужно сделать
781,"Возник вопрос. Если я через епгу подал согласие в один институт, А оригинал принёс в другой, то меня зачислят там, куда принёс оригинал или вообще никуда т.к. были нарушены правила приёма?",порядок приема,возник вопрос  если я через епгу подал согласие в один институт  а оригинал принёс в другой  то меня зачислят там  куда принёс оригинал или вообще никуда т к  были нарушены правила приёма ,возник епгу подал согласие институт оригинал принёс зачислят принёс оригинал вообще никуда нарушены правила приёма,возник епг пода соглас институт оригина принес зачисл принес оригина вообщ никуд наруш прав прием,возникать епгу согласие институт оригинал приносить зачислять приносить оригинал вообще никуда нарушать правило прием
782,"Почему так редко обновляются списки, последний раз в 15.46?",конкурсные списки,почему так редко обновляются списки  последний раз в       ,редко обновляются списки последний,редк обновля списк последн,редко обновляться список последний
783,Списки с какой частотой обновляются?,конкурсные списки,списки с какой частотой обновляются ,списки частотой обновляются,списк частот обновля,список частота обновляться
784,Сколько по времени примерно занимает открепление заявления и прикрепление к другому направлению?,технические проблемы,сколько по времени примерно занимает открепление заявления и прикрепление к другому направлению ,сколько времени примерно занимает открепление заявления прикрепление другому направлению,скольк времен примерн занима откреплен заявлен прикреплен друг направлен,сколько время примерно занимать открепление заявление прикрепление направление
785,сколько примерно времени будут обрабатываться согласия с госуслуг?,госуслуги,сколько примерно времени будут обрабатываться согласия с госуслуг ,сколько примерно времени будут обрабатываться согласия госуслуг,скольк примерн времен будут обрабатыва соглас госуслуг,сколько примерно время обрабатываться согласие госуслуга
786,Когда списки обновят?,конкурсные списки,когда списки обновят ,списки обновят,списк обнов,список обновлять
787,"Сейчас обновила сайт, вижу что есть. Конкурса нет- это от какого времени информация?",конкурсные списки,сейчас обновила сайт  вижу что есть  конкурса нет  это от какого времени информация ,обновила сайт вижу конкурса нет какого времени информация,обнов сайт виж конкурс нет как времен информац,обновлять сайт видеть конкурс нет время информация
788,"Никто не знает ли, пофиксили прикол с подачей через ГУ до 23:59 или нет?",госуслуги,никто не знает ли  пофиксили прикол с подачей через гу до       или нет ,никто не знает пофиксили прикол подачей гу нет,никт не знает пофикс прикол подач гу нет,никто не знать пофиксить прикол подача гу нет
789,Переложили согласие с 01.03 на другое направление в 16.45. На сейчас ещё значимся в списках на 01.03 с согласием. Как понимать?,технические проблемы,переложили согласие с       на другое направление в        на сейчас ещё значимся в списках на       с согласием  как понимать ,переложили согласие другое направление ещё значимся списках согласием понимать,перелож соглас друг направлен ещ знач списк соглас понима,перелагать согласие направление значиться список согласие понимать
790,Когда ждать окончательные списки?,конкурсные списки,когда ждать окончательные списки ,ждать окончательные списки,ждат окончательн списк,ждать окончательный список
791,А почему нет второй волны? Какая-та важная причина?,порядок приема,а почему нет второй волны  какая та важная причина ,нет второй волны та важная причина,нет втор волн та важн причин,нет второй волна важный причина
792,"Добр дан, а как будет проходить деление по факультетам на 01.03.00?",распределение по кафедрам,добр дан  а как будет проходить деление по факультетам на          ,добр дан проходить деление факультетам,добр дан проход делен факультет,давать проходить деление факультет
793,А что будет с неразобранными местами специальной квоты? Их приплюсуют к основной волне?,квота,а что будет с неразобранными местами специальной квоты  их приплюсуют к основной волне ,неразобранными местами специальной квоты приплюсуют основной волне,неразобра мест специальн квот приплюс основн волн,неразобранный место специальный квота приплюсовывать основной волна
794,"Объясните, кто такие целевики от маи?",квота,объясните  кто такие целевики от маи ,объясните такие целевики,объясн так целевик,объяснять целевик
795,"А 8 институт все время учится в том же месте, где и пк?",обучение,а   институт все время учится в том же месте  где и пк ,институт время учится месте пк,институт врем уч мест пк,институт время учиться место пк
796,а почему же нет обновленных списков по итогам дня? как же так можно с людьми,конкурсные списки,а почему же нет обновленных списков по итогам дня  как же так можно с людьми,нет обновленных списков итогам дня людьми,нет обновлен списк итог дня людьм,нет обновлять список итог человек
797,А как выбрать платную форму обучения??,технические проблемы,а как выбрать платную форму обучения  ,выбрать платную форму обучения,выбра платн форм обучен,выбирать платный форма обучение
798,"А окончательные списки в какую сторону могут измениться? Проходной бал может увеличиться? Или те, кто по текущей информации проходят уже в безопасности?",конкурсные списки,а окончательные списки в какую сторону могут измениться  проходной бал может увеличиться  или те  кто по текущей информации проходят уже в безопасности ,окончательные списки какую сторону могут измениться проходной бал увеличиться те текущей информации проходят безопасности,окончательн списк как сторон могут измен проходн бал увелич те текущ информац проход безопасн,окончательный список сторона изменяться проходной бал увеличиваться текущий информация проходить безопасность
799,"Добрый вечер. Сколько примерно дней будут ""запасдашек"" с ГУ обрабатывать?",госуслуги,добрый вечер  сколько примерно дней будут  запасдашек  с гу обрабатывать ,сколько примерно дней будут запасдашек гу обрабатывать,скольк примерн дне будут запасдашек гу обрабатыва,сколько примерно запасдашка гу обрабатывать
800,"Я правильно понимаю, что ПМИ это профиль информатика?",распределение по кафедрам,я правильно понимаю  что пми это профиль информатика ,правильно понимаю пми профиль информатика,правильн понима пми профил информатик,правильно понимать пми профиль информатика
801,"А если через гос услуги подавал документы, то как профиль выбирать?",распределение по кафедрам,а если через гос услуги подавал документы  то как профиль выбирать ,гос услуги подавал документы профиль выбирать,гос услуг подава документ профил выбира,гос услуга документ профиль выбирать
802,А на целевое будут же по иерархии баллов брать или кто успел подать вперёд?,квота,а на целевое будут же по иерархии баллов брать или кто успел подать вперёд ,целевое будут иерархии баллов брать успел подать вперёд,целев будут иерарх балл брат успел пода вперед,целевой иерархия балл брать успевать вперед
803,Сколько примерно человек подаёт на комп. науки через госуслуги? Сколько в том году было?,госуслуги,сколько примерно человек подаёт на комп  науки через госуслуги  сколько в том году было ,сколько примерно человек подаёт комп науки госуслуги сколько году,скольк примерн человек пода комп наук госуслуг скольк год,сколько примерно человек комп наука госуслуга сколько год
804,Надо ли довозить оригинал если подавал через госуслуги?,документы,надо ли довозить оригинал если подавал через госуслуги ,довозить оригинал подавал госуслуги,довоз оригина подава госуслуг,довозить оригинал госуслуга
805,"Сколько баллов максимум может не хватать, чтобы предложили на целевое пойти?",квота,сколько баллов максимум может не хватать  чтобы предложили на целевое пойти ,сколько баллов максимум не хватать предложили целевое пойти,скольк балл максимум не хвата предлож целев пойт,сколько балл максимум не хватать предлагать целевой пойти
806,"Добрый день, подскажите, сегодня на сайте когда обновятся списки? И это и будут последний вариант или еще илет обработка согласий?",конкурсные списки,добрый день  подскажите  сегодня на сайте когда обновятся списки  и это и будут последний вариант или еще илет обработка согласий ,подскажите сегодня сайте обновятся списки будут последний вариант илет обработка согласий,подскаж сегодн сайт обнов списк будут последн вариант илет обработк соглас,сегодня сайт обновляться список последний вариант илет обработка согласие
807,Доброе утро!Где можно ознакомиться с порядком и датами приёма  на платное обучение?,квота,доброе утро где можно ознакомиться с порядком и датами приёма на платное обучение ,доброе утро ознакомиться порядком датами приёма платное обучение,добр утр ознаком порядк дат прием платн обучен,утро ознакомляться порядком дата прием платный обучение
808,"Здравствуйте, как проходит заселение в общаги? Как я слышал, заселение происходит 25 августа, но можно и позже. Но тут вопрос - чем раньше пришёл, тем лучше общагу забрал? Или списки будут заранее?",общежитие,здравствуйте  как проходит заселение в общаги  как я слышал  заселение происходит    августа  но можно и позже  но тут вопрос   чем раньше пришёл  тем лучше общагу забрал  или списки будут заранее ,проходит заселение общаги слышал заселение происходит августа позже раньше пришёл общагу забрал списки будут заранее,проход заселен общаг слыша заселен происход август позж раньш пришел общаг забра списк будут заран,проходить заселение общага слышать заселение происходить август поздно рано приходить общага забирать список заранее
809,"Доброе утро! Какие наши действия после 09.08 если видим себя в приказе? Когда приезжать, приносить фото, может ещё что-то?",порядок приема,доброе утро  какие наши действия после       если видим себя в приказе  когда приезжать  приносить фото  может ещё что то ,доброе утро какие наши действия видим приказе приезжать приносить фото ещё,добр утр как наш действ вид приказ приезжа принос фот ещ,утро наш действие видеть приказ приезжать приносить фото
810,"Добрый день! Скажите, сегодня будут какие то списки? Вчера в 17.32 выложены некорректные. Описание не совпадает с таблицей.",конкурсные списки,добрый день  скажите  сегодня будут какие то списки  вчера в       выложены некорректные  описание не совпадает с таблицей ,скажите сегодня будут какие списки вчера выложены некорректные описание не совпадает таблицей,скаж сегодн будут как списк вчер вылож некорректн описан не совпада таблиц,сегодня список вчера выкладывать некорректный описание не совпадать таблица
